Title,Subject,Name.subject,Coverage.geographic,Name.photographer,Year,Description.caption,longitude,latitude,latlong,photos
"La Vina Sanatorium, Altadena, probably 1911-1935",Sanatoriums $z California $z Altadena|~|Sanatoriums $z California $z Altadena|~|Sanatoriums $z California $z Altadena,"La Vina Sanatorium (Altadena, Calif.)|~|La Vina Sanatorium (Altadena, Calif.)|~|La Vina Sanatorium (Altadena, Calif.)",Altadena (Calif.)|~|Altadena (Calif.)|~|Altadena (Calif.),,1911,"Text from negative sleeve: La Vina Sanitaurium, Pasadena.|~|Text from negative sleeve: La Vina Sanitaurium, Pasadena.|~|Text from negative sleeve: La Vina Sanitaurium, Pasadena.",-118.158517,34.21084,"34.21084, -118.158517",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/uclamss_1429_10602.jpg
"Frank S. Trueblood, instructor at Los Angeles Junior College, explaining ""celestial sphere"" to students, Los Angeles, 1933",Aeronautics $z California $z Los Angeles|~|Aeronautics $z California $z Los Angeles|~|Aeronautics $z California $z Los Angeles|~|Teachers $z California $z Los Angeles|~|Teachers $z California $z Los Angeles|~|Teachers $z California $z Los Angeles,"Los Angeles City College|~|Los Angeles City College|~|Los Angeles City College|~|Trueblood, Frank Sylvester, $d 1902-1979|~|Trueblood, Frank Sylvester, $d 1902-1979|~|Trueblood, Frank Sylvester, $d 1902-1979|~|Nichols, Dorothy|~|Nichols, Dorothy|~|Nichols, Dorothy|~|Dingman, La Vonne|~|Dingman, La Vonne|~|Dingman, La Vonne",Los Angeles (Calif.)|~|Los Angeles (Calif.)|~|Los Angeles (Calif.),,1933,"Text from negative sleeve: Trueblood, Frank S. Astronomer, 1933.|~|Text from newspaper caption: Engineer Explains Mechanism to Students: Frank S. Trueblood, instructor at Los Angeles Junior College, explaining intricacies of ""celestial sphere"" to Dorothy Nichols and La Vonne Dingman, students. The central sphere represents the earth and the varicolored spherical wires trace the interplanetary paths of the heavenly bodies.|~|Handwritten on negative: L to R Frank S. Trueblood, Dorothy Nichols, La Vonne Dingman|~|Text from negative sleeve: Trueblood, Frank S. Astronomer, 1933.|~|Text from newspaper caption: Engineer Explains Mechanism to Students: Frank S. Trueblood, instructor at Los Angeles Junior College, explaining intricacies of ""celestial sphere"" to Dorothy Nichols and La Vonne Dingman, students. The central sphere represents the earth and the varicolored spherical wires trace the interplanetary paths of the heavenly bodies.|~|Handwritten on negative: L to R Frank S. Trueblood, Dorothy Nichols, La Vonne Dingman|~|Text from negative sleeve: Trueblood, Frank S. Astronomer, 1933.|~|Text from newspaper caption: Engineer Explains Mechanism to Students: Frank S. Trueblood, instructor at Los Angeles Junior College, explaining intricacies of ""celestial sphere"" to Dorothy Nichols and La Vonne Dingman, students. The central sphere represents the earth and the varicolored spherical wires trace the interplanetary paths of the heavenly bodies.|~|Handwritten on negative: L to R Frank S. Trueblood, Dorothy Nichols, La Vonne Dingman",-118.292669,34.089214,"34.089214, -118.292669",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/uclamss_1429_3970.jpg
"Portrait of attorney Thatcher J. Kemp and his wife, Jeanette Tighe Kemp on their honeymoon, Yosemite Valley, 1935",Honeymoons $z California $z Yosemite Valley|~|Honeymoons $z California $z Yosemite Valley|~|Honeymoons $z California $z Yosemite Valley,"Murphy, Jeanette Tighe Mackay Kemp, $d 1901-1985 |~|Murphy, Jeanette Tighe Mackay Kemp, $d 1901-1985 |~|Murphy, Jeanette Tighe Mackay Kemp, $d 1901-1985 |~|Kemp, Thatcher J. $q (Thatcher John), $d 1898-1937|~|Kemp, Thatcher J. $q (Thatcher John), $d 1898-1937|~|Kemp, Thatcher J. $q (Thatcher John), $d 1898-1937",Yosemite Valley (Calif.)|~|Yosemite Valley (Calif.)|~|Yosemite Valley (Calif.),,1935,"Text from negative sleeve: Kemp, Thatcher. Election Fraud Case, July 1933. Accused + acquitted (w/others) of bribing member of grand jury to indict politician + wife. From old LA family. Attorney (Kemp Partridge + Kemp). Lost to Burton Fitts for DA job. Appointed Deputy City Atty in 1935. Died in 1937. Member of many LA org/clubs, incl. Minutemen. Oct '33 accused + acquitted of intoxication. Box 24.|~|Text from newspaper caption: Newlyweds Enjoy Yosemite: Mr. and Mrs. Thatcher J. Kemp, Los Angeles newlyweds spend a few days of their honeymoon trip at The Ahwahnee in Yosemite Valley [Los Angeles Times, 19 May 1935: B3]|~|Handwritten on negative: Mr. + Mrs. Thatcher Kemp.|~|Text from negative sleeve: Kemp, Thatcher. Election Fraud Case, July 1933. Accused + acquitted (w/others) of bribing member of grand jury to indict politician + wife. From old LA family. Attorney (Kemp Partridge + Kemp). Lost to Burton Fitts for DA job. Appointed Deputy City Atty in 1935. Died in 1937. Member of many LA org/clubs, incl. Minutemen. Oct '33 accused + acquitted of intoxication. Box 24.|~|Text from newspaper caption: Newlyweds Enjoy Yosemite: Mr. and Mrs. Thatcher J. Kemp, Los Angeles newlyweds spend a few days of their honeymoon trip at The Ahwahnee in Yosemite Valley [Los Angeles Times, 19 May 1935: B3]|~|Handwritten on negative: Mr. + Mrs. Thatcher Kemp.|~|Text from negative sleeve: Kemp, Thatcher. Election Fraud Case, July 1933. Accused + acquitted (w/others) of bribing member of grand jury to indict politician + wife. From old LA family. Attorney (Kemp Partridge + Kemp). Lost to Burton Fitts for DA job. Appointed Deputy City Atty in 1935. Died in 1937. Member of many LA org/clubs, incl. Minutemen. Oct '33 accused + acquitted of intoxication. Box 24.|~|Text from newspaper caption: Newlyweds Enjoy Yosemite: Mr. and Mrs. Thatcher J. Kemp, Los Angeles newlyweds spend a few days of their honeymoon trip at The Ahwahnee in Yosemite Valley [Los Angeles Times, 19 May 1935: B3]|~|Handwritten on negative: Mr. + Mrs. Thatcher Kemp.",-119.574336,37.746154,"37.746154, -119.574336",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/uclamss_1429_10635.jpg
"Football game between the UCLA Bruins and St. Mary's Gaels at the Coliseum, Los Angeles, 1932",Football $z California $z Los Angeles|~|Football $z California $z Los Angeles|~|Football $z California $z Los Angeles,UCLA Bruins (Football team)|~|UCLA Bruins (Football team)|~|UCLA Bruins (Football team)|~|St. Mary's Gaels (Football team)|~|St. Mary's Gaels (Football team)|~|St. Mary's Gaels (Football team),Los Angeles (Calif.)|~|Los Angeles (Calif.)|~|Los Angeles (Calif.),,1932,"Text from negative sleeve: Football, U.C.L.A. vs. St. Mary's, 1932.|~|Text from negative sleeve: Football, U.C.L.A. vs. St. Mary's, 1932.|~|Text from negative sleeve: Football, U.C.L.A. vs. St. Mary's, 1932.",-118.287926,34.014166,"34.014166, -118.287926",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/uclamss_1429_10360.jpg
"Statue of Ludwig van Beethoven in Pershing Square the day of its unveiling, Los Angeles, 1932-1939","Public sculpture $z California $z Los Angeles|~|Public sculpture $z California $z Los Angeles|~|Public sculpture $z California $z Los Angeles|~|Pershing Square (Los Angeles, Calif.)|~|Pershing Square (Los Angeles, Calif.)|~|Pershing Square (Los Angeles, Calif.)","Beethoven, Ludwig van, 1770-1827--Statues|~|Beethoven, Ludwig van, 1770-1827--Statues|~|Beethoven, Ludwig van, 1770-1827--Statues",Los Angeles (Calif.)|~|Los Angeles (Calif.)|~|Los Angeles (Calif.),,1932,Text from negative sleeve: Beethoven. Statue of in Pershing Sq.|~|Text from negative sleeve: Beethoven. Statue of in Pershing Sq.|~|Text from negative sleeve: Beethoven. Statue of in Pershing Sq.,-118.25248,34.048402,"34.048402, -118.25248",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/uclamss_1429_1092.jpg
"Market Street, Crocker Building, and Palace Hotel after earthquake and fire, San Francisco, 1906","Transportation|~|Transportation|~|Transportation|~|Earthquakes $z California $z San Francisco|~|Earthquakes $z California $z San Francisco|~|Earthquakes $z California $z San Francisco|~|San Francisco Earthquake and Fire, Calif., 1906|~|San Francisco Earthquake and Fire, Calif., 1906|~|San Francisco Earthquake and Fire, Calif., 1906|~|Disaster|~|Disaster|~|Disaster|~|Fires $z California $z San Francisco|~|Fires $z California $z San Francisco|~|Fires $z California $z San Francisco|~|Environment|~|Environment|~|Environment","Palace Hotel (San Francisco, Calif.)|~|Palace Hotel (San Francisco, Calif.)|~|Palace Hotel (San Francisco, Calif.)|~|Crocker Building (San Francisco, Calif.)|~|Crocker Building (San Francisco, Calif.)|~|Crocker Building (San Francisco, Calif.)",San Francisco (Calif.)|~|San Francisco (Calif.)|~|San Francisco (Calif.),,1906,"Text from nitrate negative sleeve: California, San Francisco, Fire, After the|~|Text from nitrate negative sleeve: California, San Francisco, Fire, After the|~|Text from nitrate negative sleeve: California, San Francisco, Fire, After the",-122.402767,37.788187,"37.788187, -122.402767",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/uclamss_1429_0660.jpg
"Call Building after earthquake and fire, San Francisco, 1906","Landmarks|~|Landmarks|~|Landmarks|~|Earthquakes $z California $z San Francisco|~|Earthquakes $z California $z San Francisco|~|Earthquakes $z California $z San Francisco|~|Baroque revival (Architecture) $z California $z San Francisco|~|Baroque revival (Architecture) $z California $z San Francisco|~|Baroque revival (Architecture) $z California $z San Francisco|~|San Francisco Earthquake and Fire, Calif., 1906|~|San Francisco Earthquake and Fire, Calif., 1906|~|San Francisco Earthquake and Fire, Calif., 1906|~|Disaster|~|Disaster|~|Disaster|~|Historic buildings $z California $z San Francisco|~|Historic buildings $z California $z San Francisco|~|Historic buildings $z California $z San Francisco|~|Fires $z California $z San Francisco|~|Fires $z California $z San Francisco|~|Fires $z California $z San Francisco|~|Environment|~|Environment|~|Environment","Call Building (San Francisco, Calif.)|~|Call Building (San Francisco, Calif.)|~|Call Building (San Francisco, Calif.)",San Francisco (Calif.)|~|San Francisco (Calif.)|~|San Francisco (Calif.),,1906,"Text from nitrate negative sleeve: California, San Francisco, Fire, After the|~|Text from nitrate negative sleeve: California, San Francisco, Fire, After the|~|Text from nitrate negative sleeve: California, San Francisco, Fire, After the",-122.40274,37.786792,"37.786792, -122.40274",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/uclamss_1429_0666.jpg
"San Francisco City Hall and Hall of Records after earthquake and fire, San Francisco, 1906","Government|~|Government|~|Government|~|Earthquakes $z California $z San Francisco|~|Earthquakes $z California $z San Francisco|~|Earthquakes $z California $z San Francisco|~|San Francisco Earthquake and Fire, Calif., 1906|~|San Francisco Earthquake and Fire, Calif., 1906|~|San Francisco Earthquake and Fire, Calif., 1906|~|Disaster|~|Disaster|~|Disaster|~|Fires $z California $z San Francisco|~|Fires $z California $z San Francisco|~|Fires $z California $z San Francisco|~|City & town halls $z California $z San Francisco|~|City & town halls $z California $z San Francisco|~|City & town halls $z California $z San Francisco|~|Environment|~|Environment|~|Environment","San Francisco Hall of Records (San Francisco, Calif.)|~|San Francisco Hall of Records (San Francisco, Calif.)|~|San Francisco Hall of Records (San Francisco, Calif.)|~|San Francisco City Hall (San Francisco, Calif.)|~|San Francisco City Hall (San Francisco, Calif.)|~|San Francisco City Hall (San Francisco, Calif.)",San Francisco (Calif.)|~|San Francisco (Calif.)|~|San Francisco (Calif.),,1906,"Text from nitrate negative sleeve: California, San Francisco, Fire, After the|~|Text from nitrate negative sleeve: California, San Francisco, Fire, After the|~|Text from nitrate negative sleeve: California, San Francisco, Fire, After the",-122.415499,37.782585,"37.782585, -122.415499",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/uclamss_1429_0665.jpg
"James Flood Mansion and Fairmont Hotel after earthquake and fire, San Francisco, 1906","Earthquakes $z California $z San Francisco|~|Earthquakes $z California $z San Francisco|~|Earthquakes $z California $z San Francisco|~|Neoclassicism (Architecture) $z California $z San Francisco|~|Neoclassicism (Architecture) $z California $z San Francisco|~|Neoclassicism (Architecture) $z California $z San Francisco|~|San Francisco Earthquake and Fire, Calif., 1906|~|San Francisco Earthquake and Fire, Calif., 1906|~|San Francisco Earthquake and Fire, Calif., 1906|~|Disaster|~|Disaster|~|Disaster|~|Hotels $z California $z San Francisco|~|Hotels $z California $z San Francisco|~|Hotels $z California $z San Francisco|~|Historic buildings $z California $z San Francisco|~|Historic buildings $z California $z San Francisco|~|Historic buildings $z California $z San Francisco|~|Fires $z California $z San Francisco|~|Fires $z California $z San Francisco|~|Fires $z California $z San Francisco|~|Environment|~|Environment|~|Environment|~|Mansions $z California $z San Francisco|~|Mansions $z California $z San Francisco|~|Mansions $z California $z San Francisco|~|Eclecticism in architecture $z California $z San Francisco|~|Eclecticism in architecture $z California $z San Francisco|~|Eclecticism in architecture $z California $z San Francisco","Fairmont Hotel (San Francisco, Calif.)|~|Fairmont Hotel (San Francisco, Calif.)|~|Fairmont Hotel (San Francisco, Calif.)|~|James Flood Mansion (San Francisco, Calif.)|~|James Flood Mansion (San Francisco, Calif.)|~|James Flood Mansion (San Francisco, Calif.)",San Francisco (Calif.)|~|San Francisco (Calif.)|~|San Francisco (Calif.),,1906,"Text from negative sleeve: California, San Francisco, Fire, After the|~|Text from negative sleeve: California, San Francisco, Fire, After the|~|Text from negative sleeve: California, San Francisco, Fire, After the",-122.411839,37.791714,"37.791714, -122.411839",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/uclamss_1429_0670.jpg
"Hotel St. Francis after earthquake and fire, San Francisco, 1906","Earthquakes $z California $z San Francisco|~|Earthquakes $z California $z San Francisco|~|Earthquakes $z California $z San Francisco|~|San Francisco Earthquake and Fire, Calif., 1906|~|San Francisco Earthquake and Fire, Calif., 1906|~|San Francisco Earthquake and Fire, Calif., 1906|~|Disaster|~|Disaster|~|Disaster|~|Hotels $z California $z San Francisco|~|Hotels $z California $z San Francisco|~|Hotels $z California $z San Francisco|~|Fires $z California $z San Francisco|~|Fires $z California $z San Francisco|~|Fires $z California $z San Francisco|~|Environment|~|Environment|~|Environment","Hotel St. Francis (San Francisco, Calif.)|~|Hotel St. Francis (San Francisco, Calif.)|~|Hotel St. Francis (San Francisco, Calif.)",San Francisco (Calif.)|~|San Francisco (Calif.)|~|San Francisco (Calif.),,1906,"Text from nitrate negative sleeve: California, San Francisco, Fire, After the|~|Text from nitrate negative sleeve: California, San Francisco, Fire, After the|~|Text from nitrate negative sleeve: California, San Francisco, Fire, After the",-122.40771,37.787427,"37.787427, -122.40771",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/uclamss_1429_0667.jpg
"La Vina Sanatorium, Altadena, probably 1911-1935",Sanatoriums $z California $z Altadena|~|Sanatoriums $z California $z Altadena|~|Sanatoriums $z California $z Altadena,"La Vina Sanatorium (Altadena, Calif.)|~|La Vina Sanatorium (Altadena, Calif.)|~|La Vina Sanatorium (Altadena, Calif.)",Altadena (Calif.)|~|Altadena (Calif.)|~|Altadena (Calif.),,1911,"Text from negative sleeve: La Vina Sanitaurium, Pasadena.|~|Text from negative sleeve: La Vina Sanitaurium, Pasadena.|~|Text from negative sleeve: La Vina Sanitaurium, Pasadena.",-118.158517,34.21084,"34.21084, -118.158517",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/uclamss_1429_10596.jpg
"Building at v, Altadena, probably 1911-1935",Sanatoriums $z California $z Altadena|~|Sanatoriums $z California $z Altadena|~|Sanatoriums $z California $z Altadena,"La Vina Sanatorium (Altadena, Calif.)|~|La Vina Sanatorium (Altadena, Calif.)|~|La Vina Sanatorium (Altadena, Calif.)",Altadena (Calif.)|~|Altadena (Calif.)|~|Altadena (Calif.),,1911,"Text from negative sleeve: La Vina Sanitaurium, Pasadena.|~|Text from negative sleeve: La Vina Sanitaurium, Pasadena.|~|Text from negative sleeve: La Vina Sanitaurium, Pasadena.",-118.158517,34.21084,"34.21084, -118.158517",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/uclamss_1429_10597.jpg
"Road on the property of La Vina Sanatorium, Altadena, probably 1911-1935",Sanatoriums $z California $z Altadena|~|Sanatoriums $z California $z Altadena|~|Sanatoriums $z California $z Altadena,"La Vina Sanatorium (Altadena, Calif.)|~|La Vina Sanatorium (Altadena, Calif.)|~|La Vina Sanatorium (Altadena, Calif.)",Altadena (Calif.)|~|Altadena (Calif.)|~|Altadena (Calif.),,1911,"Text from negative sleeve: La Vina Sanitaurium, Pasadena.|~|Text from negative sleeve: La Vina Sanitaurium, Pasadena.|~|Text from negative sleeve: La Vina Sanitaurium, Pasadena.",-118.158517,34.21084,"34.21084, -118.158517",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/uclamss_1429_10598.jpg
"La Vina Sanatorium, Altadena, probably 1911-1935",Sanatoriums $z California $z Altadena|~|Sanatoriums $z California $z Altadena|~|Sanatoriums $z California $z Altadena,"La Vina Sanatorium (Altadena, Calif.)|~|La Vina Sanatorium (Altadena, Calif.)|~|La Vina Sanatorium (Altadena, Calif.)",Altadena (Calif.)|~|Altadena (Calif.)|~|Altadena (Calif.),,1911,"Text from negative sleeve: La Vina Sanitaurium, Pasadena.|~|Text from negative sleeve: La Vina Sanitaurium, Pasadena.|~|Text from negative sleeve: La Vina Sanitaurium, Pasadena.",-118.158517,34.21084,"34.21084, -118.158517",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/uclamss_1429_10599.jpg
"Building at La Vina Sanatorium, Altadena, probably 1911-1935",Sanatoriums $z California $z Altadena|~|Sanatoriums $z California $z Altadena|~|Sanatoriums $z California $z Altadena,"La Vina Sanatorium (Altadena, Calif.)|~|La Vina Sanatorium (Altadena, Calif.)|~|La Vina Sanatorium (Altadena, Calif.)",Altadena (Calif.)|~|Altadena (Calif.)|~|Altadena (Calif.),,1911,"Text from negative sleeve: La Vina Sanitaurium, Pasadena.|~|Text from negative sleeve: La Vina Sanitaurium, Pasadena.|~|Text from negative sleeve: La Vina Sanitaurium, Pasadena.",-118.158517,34.21084,"34.21084, -118.158517",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/uclamss_1429_10600.jpg
